code,transliterations,type
A,,Determinative
A1,i|z,Phonetic
A10,sqdw|sqd,Ideogram
A100,,Determinative
A100A,,Determinative
A100B,,Determinative
A101,mH|nb,Phonetic
A101A,,Determinative
A101B,,Determinative
A101C,,Determinative
A101D,,Determinative
A102,,Determinative
A103,,Determinative
A104,,Determinative
A104A,,Determinative
A104B,,Determinative
A105,,Determinative
A107,,Determinative
A108,,Determinative
A108A,,Determinative
A109,,Determinative
A109A,,Determinative
A109B,,Determinative
A109C,wr,Phonetic
A109D,,Determinative
A109E,,Determinative
A109F,,Determinative
A109G,,Determinative
A109h,,Determinative
A10A,,Determinative
A10B,,Determinative
A11,xnms,Ideogram
A110,,Determinative
A111,,Determinative
A112,,Determinative
A113,,Determinative
A114,pat,Ideogram
A114A,pat,Ideogram
A114B,,Determinative
A115,swr,Ideogram
A116,,Determinative
A116A,,Determinative
A116B,,Determinative
A117,fAi|fAi-xt,Ideogram
A117A,,Determinative
A117B,,Determinative
A118,,Determinative
A119,fAi|fA,Phonetic
A119A,fAi|fA,Phonetic
A12,mnfyt|mSa,Ideogram
A120,,Determinative
A121,,Determinative
A121A,,Determinative
A121B,,Determinative
A121C,ax|ax-pt|twA|twA-pt,Phonetic
A122,,Determinative
A123,,Determinative
A124,,Determinative
A125,fAi|fAi-xt,Ideogram
A126,,Determinative
A127,,Determinative
A12A,,Determinative
A12B,,Determinative
A12C,,Determinative
A12D,,Determinative
A13,sbi|xfty,Ideogram
A130,,Determinative
A131,f|fAi,Phonetic
A131A,f|fAi,Phonetic
A131C,,Determinative
A132,,Determinative
A133,,Determinative
A133A,,Determinative
A133B,,Determinative
A135,,Determinative
A135A,,Determinative
A135B,,Determinative
A135C,xnp|sti|qbH,Ideogram
A135D,,Determinative
A135E,,Determinative
A135F,,Determinative
A136,,Determinative
A137,Ha|Haa,Phonetic
A138,,Determinative
A139,,Determinative
A139A,,Determinative
A139B,,Determinative
A139C,,Determinative
A139D,,Determinative
A13A,,Determinative
A13B,,Determinative
A13C,,Determinative
A13D,,Determinative
A13E,,Determinative
A13F,,Determinative
A13G,,Determinative
A13I,,Determinative
A13J,,Determinative
A13K,aApp,Ideogram
A13L,,Determinative
A13M,,Determinative
A13N,,Determinative
A13O,,Determinative
A13P,,Determinative
A13h,,Determinative
A14,mwt|sbi|xfty,Ideogram
A140,,Determinative
A140A,,Determinative
A141,,Determinative
A141A,,Determinative
A142,,Determinative
A143,,Determinative
A143A,,Determinative
A144,,Determinative
A145,,Determinative
A146,,Determinative
A147,Hai|Ha|Haa,Phonetic
A148,Asx-it|Asx,Ideogram
A149,,Determinative
A14A,mwt|sbi|xfty,Ideogram
A14B,,Determinative
A14C,,Determinative
A14D,,Determinative
A14E,,Determinative
A14F,,Determinative
A14G,,Determinative
A14I,,Determinative
A14J,,Determinative
A14h,,Determinative
A15,xr,Phonetic
A150,,Determinative
A151,,Determinative
A152,,Determinative
A153,,Determinative
A153A,,Determinative
A155,,Determinative
A156,,Determinative
A157,,Determinative
A158,nHp,Ideogram
A158A,,Determinative
A158B,,Determinative
A158C,,Determinative
A158D,,Determinative
A158E,,Determinative
A158F,,Determinative
A159,,Determinative
A15A,,Determinative
A15B,,Determinative
A15C,,Determinative
A16,ks|ksi|ksw,Phonetic
A160,,Determinative
A161,,Determinative
A165,,Determinative
A165A,,Determinative
A166,,Determinative
A168,smsw,Ideogram
A169,,Determinative
A16A,,Determinative
A16B,,Determinative
A16C,,Determinative
A17,nmH|nni|Sri|Xrd,Ideogram
A170,saHa,Ideogram
A171,,Determinative
A172,,Determinative
A174,smsw,Ideogram
A175,,Determinative
A176,nis,Ideogram
A176A,,Determinative
A176B,,Determinative
A179,,Determinative
A179A,,Determinative
A17A,Hms|Hmsi|msw,Ideogram
A17B,,Determinative
