code,phonetic,meaning,unicode
A1,,Seated man,𓀀
A10,,Man holding an oar,𓀌
A11,,Man with scepter and crook,𓀍
A12,,Man with bow and quiver,𓀎
A13,,Man with arms bound,𓀏
A14,,Man with bleeding head,𓀐
A14A,,Man with axe to head,𓀑
A15,,Man falling,𓀒
A16,,Man bowing,𓀓
A17,,Child with hand to mouth,𓀔
A17A,,Child sitting,𓀕
A18,,Child wearing red crown,𓀖
A19,,Aged man bending with stick,𓀗
A2,,Man with hand to mouth,𓀁
A20,,Man leaning on forked stick,𓀘
A21,sr,Man with stick,𓀙
A22,,Statue of man with stick and scepter,𓀚
A23,,King with stick and mace,𓀛
A24,,Man striking with stick in both hands,𓀜
A25,,Man striking with stick in one hand,𓀝
A26,,Man gesturing,𓀞
A27,in,Man running,𓀟
A28,,Man with arms raised up,𓀠
A29,,Man upside down,𓀡
A3,,Man sitting on heel,𓀂
A30,,Man with arms outstretched,𓀢
A31,,Man with arms turned behind him,𓀣
A32,,Dancing man,𓀤
A33,,Man with stick and bindle,𓀥
A34,,Man pounding in a mortar,𓀦
A35,qd,Man building a wall,𓀧
A36,,Man straining into a vessel,𓀨
A37,,Commoner form A36,𓀩
A38,,Man holding two animal emblems,𓀪
A39,,Man holding two giraffes,𓀫
A4,,Man with arms raised,𓀃
A40,,Seated god,𓀭
A40A,,,𓀮
A41,,King in white crown,𓀮
A42,,Seated king holding flail,𓀯
A42A,,,𓀱
A43,,King wearing white crown of Upper Egypt,𓀰
A43A,,,𓀳
A44,,King holding flail and wearing white crown of Upper Egypt,𓀱
A45,bity,King wearing red crown of Lower Egypt.,𓀲
A45A,,,𓀶
A46,,King holding flail and wearing red crown of Lower Egypt.,𓀳
A47,s3w,Seated shepherd,𓀴
A48,,Man holding knife,𓀹
A49,,Foreigner with stick,𓀺
A5,,Man hiding,𓀄
A50,,Noble seated on chair,𓀻
A51,Spsi,Noble seated on chair with flagellum,𓀼
A52,,Kneeling noble with flail,𓀽
A53,,Upright mummy,𓀾
A54,,Recumbent mummy,𓀿
A55,,Mummy on bed,𓁀
A59,,Man threatening stick with one hand,𓁄
A5A,,Man hiding variant,𓀅
A6,,Man purifying,𓀆
A6A,,Man purifying variant,𓀇
A6B,,Man purifying variant 2,𓀈
A7,,Fatigued man,𓀉
A8,,Man performing hnw,𓀊
A9,,Man with basket on head,𓀋
AA1,,Placenta?,𓐍
AA10,,Unknown,𓐘
AA11,,Unknown sign,𓐙
AA11,,Unknown sign,𓐙
AA12,,Unknown,𓐚
AA13,ip,Crossed planks,𓏭
AA14,,Unknown,𓐜
AA15,Dr,Unclassified variant,𓏮
AA16,,Short form Aa13,𓐞
AA16,,Z10,Z9
AA17,,Back of something?,𓐟
AA18,,Var. of Aa17,𓐠
AA19,,Unknown,𓐡
AA2,nD,Pustule or gland?,𓐁
AA20,,Unknown,𓐢
AA21,,Unknown,𓐣
AA22,,Combination of Aa21 + D36,𓐤
AA23,,Warp between stakes?,𓐥
AA24,,Var. Aa23,𓐦
AA25,,Unknown,𓐧
AA26,,Unknown,𓐨
AA27,,Unclassified sign,𓐩
AA28,,Unclassified sign,𓐪
AA29,,Var. of Aa28,𓐫
AA3,,Aa2 with substance issuing,𓐏
AA30,,Frieze element?,𓐬
AA30,,V36,Aa20
AA31,,Var. of Aa30,𓐭
AA4,,Pot,𓐐
AA5,xnt,Combination sign,𓐅
AA6,,Unknown,𓐒
AA7,,Unknown,𓐓
AA8,,Irrigation canal?,𓐖
AA8,,V26,Aa9
AA9,,Unknown,𓐗
B1,,Seated woman,𓁐
B2,,Pregnant woman,𓁑
B3,msi,Woman giving birth,𓁒
B4,,Woman nursing child,𓁓
B5,,Woman with hand to mouth,𓁔
B6,,Woman and seated child,𓁕
B7,,Seated queen holding flower,𓁖
C1,ra,God with sun-disk and uraeus,𓁚
C10,mAat,Goddess with feather,𓁦
C10A,,Goddess with feather holding ʿnḫ,𓁧
C11,HH,Heh figure,𓁨
C12,imn,Amun,𓁩
C17,,God with double plumes,𓁮
C18,,God with was scepter,𓁯
C19,ptH,Ptah,𓁰
C2,ra,God with falcon head and sun-disk holding ʿnḫ,𓁜
C20,,God mummiform,𓁱
C3,DHwty,God with ibis head,𓁟
C4,Xnmw,God with ram head,𓁠
C5,,God with ram head holding ʿnḫ,𓁡
C6,inpw,God with jackal head,𓁢
C7,stX,God with Seth head,𓁣
C8,Mnw,Min,𓁤
C9,,Goddess with horned sun-disk,𓁥
D1,tp,Head,𓁶
D10,wDAt,Eye with falcon’s head marking,𓂀
D11,,White part of w3ḏt eye,𓂁
D12,,Pupil of eye,𓂂
D13,,Eyebrow,𓂃
D14,,White part of w3ḏt eye,𓂄
D15,,Part of w3ḏt eye markings,𓂅
D16,,Part of w3ḏt eye markings,𓂆
D17,tit,Markings of wedjat eye,𓂇
D18,msDr,Ear,𓂈
D19,fnD,"Eye, nose, and cheek",𓂉
D2,Hr,Face,𓁷
D20,,Nose with eye,𓂊
D21,r,Mouth,𓂋
D21,r,Mouth,𓂋
D22,rwy,Mouth with two lines,𓂌
D23,Xmt,Mouth with three lines,𓂍
D24,spt,Upper lip with teeth,𓂎
D25,spty,Lips with teeth,𓂏
D26,,Lips spewing water,𓂐
D27,,Breast,𓂑
D27A,,Breast variant,𓂒
D28,kA,Two arms upraised,𓂓
D29,,Combination D28 + T3,𓂔
D3,,Hair,𓁸
D30,,Combination D28 + T28,𓂕
D31,Hm-kA,Combination of signs D32 and U36,𓂖
D32,,Two arms embracing,𓂗
D33,Xni,Arms holding oar,𓂙
D34,H3,Arms with shield and axe,𓂚
D34A,,Arms with shield and mace,𓂛
D35,n,Negative arms,𓂜
D36,a,Arm,𓂝
D37,mi,Arm holding sign X8,𓂞
D38,,Arm holding bread,𓂟
D39,,Arm holding W24,𓂠
D4,ir,Eye,𓁹
D40,,Arm holding stick,𓂡
