characters,clean_text
n ḏ w d i ̯ r s,nḏ wdi̯ r s
n ṯ w ꞽ m s n,n ṯw ꞽm sn
ḫ ꜣ m t ʾ ḥ n q t k ꜣ ꜣ p d n ꞽ m ꜣ ḫ ꞽ m ꞽ r ʾ š n ꜥ ꞽ m n m ḥ ꜣ t m ꜣ ꜥ ḫ r w,ḫꜣ m tʾ ḥnqt kꜣ ꜣpd n ꞽmꜣḫ ꞽmꞽ rʾ šnꜥ ꞽmn m ḥꜣt mꜣꜥ ḫrw
ꜥ ḥ ꜥ,ꜥḥꜥ
w s ꞽ r w n ꞽ s m n k ꞽ r t ḥ r w ꞽ ꜥ b n k s ꞽ ꞽ r r ʾ k,wsꞽr wnꞽs m n k ꞽrt ḥrw ꞽꜥb n k sꞽ ꞽr rʾ k
ꞽ w ꜣ r n,ꞽwꜣ rn
q r s t ꞽ m z m y t ꞽ m n t ꞽ t ꞽ ꜣ w i ̯ t ꞽ n f r w r t ꞽ r ꞽ t ꞽ ḫ t n s w t w m t t k ꜣ,qrstꞽ m zmyt ꞽmntꞽt ꞽꜣwi̯tꞽ nfr wrt ꞽrꞽt ꞽḫt nswt wmtt kꜣ
ꞽ m ꞽ r ʾ z ẖ ꜣ w w ꜥ n n s w t s š m n f r,ꞽmꞽ rʾ zẖꜣww ꜥ n nswt sšm nfr
ḥ m k ꜣ m r w ꞽ d w,ḥm kꜣ mrw ꞽdw
ꞽ ḫ h n h n s ḥ r r m n ꞽ,ꞽḫ hnhn s ḥr rmn ꞽ
ꞽ w g s n ꜣ ṯ p w k r š d i ̯ t k ḥ r m r y t n b t,ꞽw gs n ꜣṯpw k r šdi̯t k ḥr mryt nbt
w š b w m d w t m ꞽ ḫ p r t ꞽ m s,wšbw mdwt mꞽ ḫprt ꞽm s
w ꜣ ḥ ꞽ b,wꜣḥ ꞽb
ꞽ r t m s s p t f ꞽ d š r s p t f ꞽ p w m ꞽ ꞽ r t ꞽ w t m s t,ꞽr tms spt fꞽ dšr spt fꞽ pw mꞽ ꞽrtꞽw tmst
w ꜥ b r f š s ꜣ w p n ꞽ m ꞽ r ʾ f,wꜥb r f šsꜣw pn ꞽmꞽ rʾ f
ḫ r p ḥ r ꞽ ꞽ b,ḫrp ḥrꞽ ꞽb
ḏ ꜣ i ̯ t b ꞽ ꜣ m ḥ t p n f r w r t,ḏꜣi̯t bꞽꜣ m ḥtp nfr wrt
s ṯ i ̯ ḥ ꜣ b,sṯi̯ ḥꜣb
ꞽ r r k r k ꞽ r f r m,ꞽrr k r k ꞽr f r m
ꞽ w ꜥ w n ꞽ b k,ꞽw ꜥwn ꞽb k
r d i ̯ n ẖ r d n w r r ʾ p w,rdi̯ n ẖrd n wr rʾ pw
ꜣ t p w k t t d ꜣ ꞽ r ꞽ b,ꜣt pw ktt dꜣꞽr ꞽb
s ḥ ḏ z ẖ ꜣ w w ꞽ m ꞽ r ʾ ḥ m w k ꜣ ꞽ r r ḥ z z t n b f r n s ꞽ z ꜣ ꞽ b ꞽ,sḥḏ zẖꜣww ꞽmꞽ rʾ ḥmw kꜣ ꞽrr ḥzzt nb f rnsꞽ zꜣ ꞽbꞽ
s ꞽ ꜣ t n s ꞽ ꜣ t ḥ r,sꞽꜣt n sꞽꜣt ḥr
ꞽ m i ̯ y ꞽ r t ḥ r w ḥ r ḏ n ḥ n ꞽ s n f s t š,ꞽmi̯y ꞽrt ḥrw ḥr ḏnḥ nꞽ sn f stš
w n ꞽ s p ꞽ z k r n ꞽ r ʾ s ṯ ꜣ,wnꞽs pꞽ zkr nꞽ rʾ sṯꜣ
g r ꜥ n n s w r ꞽ r i ̯ t ṯ s t n k n s n ḏ n f n t w ꜣ n f s t n ꞽ n i ̯ s n f r k m ẖ n w m r r t,gr ꜥnn sw r ꞽri̯t ṯst n k n snḏn f n twꜣ n f st n ꞽni̯ sn f r k m ẖnw mrrt
n z p ḫ p r m ꞽ t ꞽ t ḫ r n ṯ r ꞽ m ꞽ w b ꜣ ḥ,n zp ḫpr mꞽtꞽt ḫr nṯr ꞽmꞽw bꜣḥ
s f n b t ʾ n ḫ t n ḫ n r,sf nb tʾ nḫt n ḫnr
z ꜣ ꜣ s t,zꜣ ꜣst
ḥ t m k ꞽ r t k,ḥtm k ꞽrt k
ḥ ꜣ k t ꜣ š s n ꜥ n ḫ m s m ꜥ,ḥꜣ k tꜣš sn ꜥnḫ m smꜥ
w s ꞽ r w n ꞽ s ꞽ b ꜣ,wsꞽr wnꞽs ꞽbꜣ
ꞽ w n w ꞽ m w n ꞽ s n ṯ r ꞽ w n w ꞽ k m w n ꞽ s n ṯ r,ꞽwnwꞽ m wnꞽs nṯr ꞽwnwꞽ k m wnꞽs nṯr
r d i ̯ n š w s n ḏ f q m ꜣ n t f n t š f y t f,rdi̯n šw snḏ f qmꜣn tfnt šfyt f
w r w f ꜣ ꞽ n s ḏ m y w,wr wfꜣ ꞽn sḏmyw
ꞽ r i ̯ t r t n ꞽ ꞽ d y t š r t,ꞽri̯ t r tnꞽ ꞽdyt šrt
n ḫ t,nḫt
ꞽ r i ̯ s t k ḥ r f,ꞽri̯ st k ḥr f
ꞽ w n n m ꜣ ꜣ m r y,ꞽw nn mꜣꜣ mry
š m k w r b ꞽ ꜣ n ꞽ ꞽ t ꞽ,šmkw r bꞽꜣ nꞽ ꞽtꞽ
ṯ n ꞽ ꞽ r w k,ṯnꞽ ꞽrw k
r d i ̯ r ꞽ r t n ꞽ z d w ꜣ t z p 2,rdi̯ r ꞽrt nꞽ z dwꜣt zp 2
r ḫ ḥ r ḏ d n k,rḫ ḥr ḏd n k
w ḏ n n f g b ꞽ w ꜥ w t f,wḏn n f gb ꞽwꜥwt f
ṯ n w k ḫ ꜣ š z p k ꜥ n ꞽ ꞽ ḫ m w s k,ṯnw k ḫꜣ šzp k ꜥ nꞽ ꞽḫmw sk
ḥ t p ṯ ḥ r f,ḥtp ṯ ḥr f
n r ḏ i ̯ n f n ꞽ s t,n rḏi̯n f n ꞽ st
n n ꞽ s ꞽ b d n s s ḫ r ẖ t,nn ꞽs ꞽb dns sḫr ẖt
ḏ i ̯ n n k ḥ r w,ḏi̯n n k ḥrw
ḥ m s i ̯,ḥmsi̯
ḥ ꜥ i ̯ s w m š ꜣ i ̯ t n ꞽ ꞽ r i ̯ t,ḥꜥi̯ sw m šꜣi̯tn ꞽ ꞽri̯t
ḥ r ꞽ s š t ꜣ n ꞽ m d w t n b t n t t p r s ꞽ ꞽ m ꞽ ꞽ b n ꞽ n b f,ḥrꞽ sštꜣ nꞽ mdwt nbt nt tp rsꞽ ꞽmꞽ ꞽb nꞽ nb f
ḫ ꜣ ꜣ p d m ꜣ ḥ ḏ,ḫꜣ ꜣpd mꜣ ḥḏ
h ꜣ n ꞽ t p w,hꜣ nꞽt pw
p r i ̯ n f r t,pri̯ nfrt
