normalized,original,source,word_length,is_compound,morpheme_count
a,ꜥ,bbaw,1,False,1
b,b,bbaw,1,False,1
d,d,bbaw,1,False,1
f,f,bbaw,1,False,1
g,g,bbaw,1,False,1
h,ḥ,bbaw,1,False,1
i,I,bbaw,1,False,1
j,j,bbaw,1,False,1
k,k,bbaw,1,False,1
m,m,bbaw,1,False,1
n,n,bbaw,1,False,1
p,p,bbaw,1,False,1
q,Q,bbaw,1,False,1
r,r,bbaw,1,False,1
s,s,bbaw,1,False,1
t,tʾ,bbaw,1,False,1
w,w,bbaw,1,False,1
x,ḫ,bbaw,1,False,1
y,y,bbaw,1,False,1
z,z,bbaw,1,False,1
aa,ꜥꜣ,bbaw,2,False,1
ab,ꜥb,bbaw,2,False,1
ad,ꜣd,bbaw,2,False,1
af,ꜣf,bbaw,2,False,1
ag,ꜣg,bbaw,2,False,1
ah,ꜥḥ,bbaw,2,False,1
aj,ꜥj,bbaw,2,False,1
ak,ꜥk,bbaw,2,False,1
am,ꜣm𓊇,bbaw,2,False,1
an,ꜥn,bbaw,2,False,1
ap,ꜣp,bbaw,2,False,1
aq,ꜥq,bbaw,2,False,1
ar,ꜥr,bbaw,2,False,1
as,ꜣs,bbaw,2,False,1
at,ꜣt,bbaw,2,False,1
aw,ꜣw,bbaw,2,False,1
ax,ꜣḫ,bbaw,2,False,1
ay,ꜥy,bbaw,2,False,1
az,ꜣz,bbaw,2,False,1
ba,bꜣ,bbaw,2,False,1
bb,Bb,bbaw,2,False,1
bd,bd,bbaw,2,False,1
bf,bf,bbaw,2,False,1
bg,bg,bbaw,2,False,1
bh,bḥ,bbaw,2,False,1
bj,bj,bbaw,2,False,1
bl,bl,bbaw,2,False,1
bn,bn,bbaw,2,False,1
bq,bq,bbaw,2,False,1
br,br,bbaw,2,False,1
bs,bs,bbaw,2,False,1
bt,bt,bbaw,2,False,1
bw,bw,bbaw,2,False,1
bz,bz,bbaw,2,False,1
da,ḏꜥ,bbaw,2,False,1
db,db,bbaw,2,False,1
dd,ḏd,bbaw,2,False,1
df,ḏf,bbaw,2,False,1
dg,dg,bbaw,2,False,1
dh,dḥ,bbaw,2,False,1
di,ḏi,bbaw,2,False,1
dj,dj,bbaw,2,False,1
dk,dk,bbaw,2,False,1
dm,dm,bbaw,2,False,1
dn,dn,bbaw,2,False,1
dp,dp,bbaw,2,False,1
dq,dq,bbaw,2,False,1
dr,ḏr,bbaw,2,False,1
ds,ḏs,bbaw,2,False,1
dt,ḏt,bbaw,2,False,1
du,du,bbaw,2,False,1
dw,ḏw,bbaw,2,False,1
dx,dḫ,bbaw,2,False,1
dy,dy,bbaw,2,False,1
dz,ḏz,bbaw,2,False,1
fa,fꜥ,bbaw,2,False,1
fd,fd,bbaw,2,False,1
ff,ff,bbaw,2,False,1
fi,fꞽ,tla,2,False,1
fj,fj,bbaw,2,False,1
fk,fk,bbaw,2,False,1
fn,fn,bbaw,2,False,1
fq,fq,bbaw,2,False,1
fr,fr,bbaw,2,False,1
fs,fs,bbaw,2,False,1
ft,ft,bbaw,2,False,1
fw,fw,bbaw,2,False,1
fx,fḫ,bbaw,2,False,1
fy,fy,bbaw,2,False,1
ga,gꜣ,bbaw,2,False,1
gb,Gb,bbaw,2,False,1
gh,gḥ,bbaw,2,False,1
gm,gm,bbaw,2,False,1
gn,GN,bbaw,2,False,1
gp,gp,bbaw,2,False,1
gr,gr,bbaw,2,False,1
gs,gs,bbaw,2,False,1
gw,Gw,bbaw,2,False,1
gy,gy,bbaw,2,False,1
gz,gz,bbaw,2,False,1
ha,ḥꜣ,bbaw,2,False,1
hb,hb,bbaw,2,False,1
hd,ḥḏ,bbaw,2,False,1
hf,ḥf,bbaw,2,False,1
hh,hh,bbaw,2,False,1
hi,hi,bbaw,2,False,1
hj,hj,bbaw,2,False,1
hk,ḥk,bbaw,2,False,1
hm,ḥm,bbaw,2,False,1
hn,ḥn,bbaw,2,False,1
hp,hp,bbaw,2,False,1
hq,ḥq,bbaw,2,False,1
hr,ḥr,bbaw,2,False,1
hs,ḥs,bbaw,2,False,1
ht,Ḥt,bbaw,2,False,1
hw,ḥw,bbaw,2,False,1
hy,hy,bbaw,2,False,1
hz,ḥz,bbaw,2,False,1
ia,ꞽꜣ,tla,2,False,1
ib,ib,bbaw,2,False,1
id,ꞽd,tla,2,False,1
ih,ꞽh,tla,2,False,1
ii,Ii,bbaw,2,False,1
ik,ꞽk,tla,2,False,1
im,Im,bbaw,2,False,1
in,ꞽn,tla,2,False,1
ip,ip,bbaw,2,False,1
ir,ꞽr,tla,2,False,1
is,ꞽs,tla,2,False,1
it,I:tʾ,bbaw,2,False,1
iw,Iw,bbaw,2,False,1
ix,ꞽḫ,tla,2,False,1
iy,Iy,bbaw,2,False,1
iz,ꞽz,tla,2,False,1
ja,Jꜣ𓊇,bbaw,2,False,1
jb,jb,bbaw,2,False,1
jd,Jd,bbaw,2,False,1
jf,jf,bbaw,2,False,1
jh,jḥ,bbaw,2,False,1
ji,ji,bbaw,2,False,1
jj,jj,bbaw,2,False,1
jk,jk,bbaw,2,False,1
jm,j:m,bbaw,2,False,1
jn,jn,bbaw,2,False,1
jp,jp,bbaw,2,False,1
jq,Jq,bbaw,2,False,1
jr,jr,bbaw,2,False,1
js,Jš𓊇,bbaw,2,False,1
jt,jt,bbaw,2,False,1
jw,jw,bbaw,2,False,1
jx,jḫ,bbaw,2,False,1
jy,jy,bbaw,2,False,1
jz,jz,bbaw,2,False,1
ka,kꜣ,bbaw,2,False,1
kd,kd,bbaw,2,False,1
kf,kf,bbaw,2,False,1
kh,kh,bbaw,2,False,1
ki,kı,bbaw,2,False,1
kj,kj,bbaw,2,False,1
kk,kk,bbaw,2,False,1
km,km,bbaw,2,False,1
kn,kn,bbaw,2,False,1
kp,kp,bbaw,2,False,1
kr,Kr,bbaw,2,False,1
