intention,german_words,english_words,category,sentiment,valence
offering,brot; opfer; tausend an; bier; totenopfer; fleisch; wein; weihrauch; geflügel; kuchen; rind; brote; nahrung; salböl; speisen; rinder; königsopfer; wasserspende; rindern; gottesopfer; opfergaben; opfergabe; festduftöl; fleischstück; opferplatte; speise; salbe; opfern; libation; opferspeisen; speisezeltes; geopfert; spenden; opfers; rindes; fleischstücke; opfergefilde; brothälften; darbringen; brustfleisch; spende; weihrauchfeuer; opferspende; gottesopfers; opfertisch; beräuchert; weizenspeise; räucherung; opferkuchen; opferbedarf; opfert; totenopfers; wasserspenden; weihrauchharz; spendet; ausgießen; rinderfett; rippenfleisch; fleisches; libationsgefäß; opferspeise; fleischknochen; opferbrot; festopfer; opferständers; broten; opfere; speisenbedarf; opferumlauf; opferständer; bierart; jahresopfer; opferbrote; langhornrinder; gespendet; balsam; umlaufopfer; brotes; opfergefildes; opfertafel; abendopfer; trankopferspender; räuchern; weinkrug; opferausstattung; opferausschüttung; geflügels; abendopfers; kurzhornrindern; rindfleisch; weihen; brandopfer; bieres; opferbroten; hofopfer; fleischopfer; napfkuchen; opferspenden; libationen; weihrauchs; schlachtopfer; opferplatten; eingeweihter; kurzhornrinder; opfertisches; langhornrindern; opferfelder; getreidespeise; räucherwerk; speiseopfer; qebehut; opferbringer; doppelkuchen; invokationsopfer; räuchermittel; nahrungsmittel; speisebedarf; opferbereiter; räucherarm; morgenopfer; opfergefilden; gottesopfern; opferaltars; opferbereitern; opfertische; biere; brotfladen; geflügelfett; weihräuchern; geräuchert; opfermahl; speisetisch; jahresopfers; opferte; darbringens; beweihräuchern; opferliste; fleischstücks; opferrind; opferfleisch; speisenhaus; spendete; räuchert; opferstein; opferfest; weihrauchkörner; todgeweiht; räuchergefäß; sumpfgeflügels; opferstiftungen; rindfleischstück; opferträger; totenopfern; salbung; eingeweiht; wasserspender; räuchermeister; sumpfgeflügel; rotwein; opferbedarfs; bierkrug; opferstelle; umlaufopfers; opferaltar; fleischstücken; rinds; räucherpfanne; opferrationen; opferschale; speiseopfern; extraopfer; brotteig; wasser spenden; invokationsopfers; opferfleischs; brotform; fleischteile; speisetischen; rinderschenkel; opferherren; opferempfänger; opferns; beräuchere; flammenweihrauch; spendest; grillfleisch; wasserspenderin; bierhaus; brothälfte; opferung; jahresfestopfer; königstotenopfer; beräuchern; weihrauchkugeln; kornspende; dörrfleisch; rinderkopfes; opferverzeichnis; geweihten; libations; räucherarme; gebopfer; rinderfleischstück; opfergeschenke; weihrauchständer; opfertischblätter; nahrungsration; räuchergerät; libationswasser; kugelweihrauch; doppelkönigsopfer; mastgeflügel; opferherr; wildgeflügel; opferaltäre; libationsgefäße; nahrungsmitteln; nahrungsmittelversorgung; wasserlibation; brotteigs; königsdoppelopfer; opfergötter; opfernd; opferplatz; opferformel; brotnäpfe; fleischteil; jungrindern; festopfers; opferträgers; opfergabenschau; speiseopfers; jahropfer; räucherarms; libationsgefäßes; beweihräuchert; opferer; speisetisches; feuerweihrauch; königsopfers; rippenfleischstück; geweiht; jahropfers; speisenhügel; jahresfestopfers; opferstücke; bieropfer; opfervieh; opfertafeln; nahrungen; räuchernapfes; opfergottgefilden; rinderkeule; spender; napftragekuchen; libationsweihrauch; daueropfer; bierkrüg; opfergabenkrüge; opfervollziehern; fleischeinkünfte; opferritual; blumenopfer; fleischteiles; weihopfer; opferfeld; beräucherst; opferkammer; opferbrotes; räucherwerkes; täglich opfer; opferbringerinnen; opferfeuer; opfersteinen; rindermilch; fleischfett; weihräucherung; opfergeschäft; brandopfern; erntespende; weizenspeisen; reinigungsopfer; opferherrin; speisezelts; opfertafelträger; todgeweihten; lebensspender; gottesopferritual; zugeweiht; opferrituals; weihrauchholz; opfergut; fleischportion; libationspriesters; opferstier; opferumlaufs; opferstadt; weihrauchiges; festopfern; opferbecken; libationskrüge; brotmehls; rinde; spendenbestand; brandopferbecken; rindertalgs; weihrauchgefäß; fleischs; weihend; zusatzopfer; räucherer; räuchermitteln; opfergeber; räuchernäpfe; trankopfer; opferst; duftwasserspende; brandopfers; opferhalle; opfergottes; rindsteil; dattelkuchen; libationsspenden; duftöl; rinderart; opferstrauß; schenkelfleisch; speisezuwendungen; opferfladen; natronspenden; getreidespeisen; opferfleisches; räucherns; opferschalen; opferdienste; getränkeopferkrüge; opfermahls; gottesspende; speisenzuteilung; hekatombopfer; nierenfleisch; verspeisen; speisebedarfs; nahrungsspende; weihrauchkasten; opferbringens; opferkrüge; opferhandlung; libationsopfer; opfersachen; rindsart; lobpreisspender; rindertalgkrug; opferfleischträger; räuchernder; trankspende; biers; opferten; brotopfer; senetjeri; fleischportionen; brotbedarf; bierkrüge; brots; opfervase; opfersache; speiselieferungen; eingeweihten; brotrationen; kornspenden; rinderleber; weihräuchernd; brustfleisches; bieren; beweihräucherung; opferanteilen; broteinkünfte; mastgeflügels; räuchere; brotlaibe; tägliches opfer; rippchenfleisch; frühstückskuchen; opfertiere; königsopfern; fleischspeise; kultopfer; opferspeisem; opferaltären; opferbett; mastrinder,altar gift; anoint; anointing oil; balm; beer; bread; bread and beer; burn incense; burning of incense; cakes; cattle; censer; censing; cool water; daily food rite; daily offering; daily provision; daily rite; daily ritual; dedicate; dedication; drink; drink offering; everyday offering; food and drink; food and drink for the gods; food offering; fowl; fragrance offering; fragrant unguent; frankincense; fumigation; gift to the gods; grain offering; grape wine; incense; incense burner; jar of wine; joints of meat; libation; libation of wine; libation vessel; loaves; make an offering; meal for the dead; meat; myrrh; myrrh oil; oblation; offer; offer up; offering; offering of food; offering of incense; offering of wine; offering table; offerings; oil; ointment; oxen; perfumed offering; perfumed oil; perpetual offering; poultry; pour a libation; pour water; pouring out water; pouring wine; present; present offerings; provisions; rations; regular offering; sacred oil; sacrifice; seven sacred oils; sprinkling water; sustenance; sweet smoke; the daily cult offering; unguent; vintage; votive offering; water for the spirit; water offering; water poured for the dead; wine; wine jar; wine offering,cultic_religious,positive,0.4
prayer_adoration,lobpreis; preisen; anbeten; beten; gepriesen; loben; beschwörung; verehrungswürdige; verehren; ehrfurcht; erbitten; verehrungswürdigen; huldigung; anbetung; verehrung; gesang; lob; betet; erbittet; preise; erbeten; lobpreisungen; lobpreisen; angebetet; anrufen; huldigen; bittet; gepriesenen; lobpreisung; gepriesener; flehen; verehrungswürdiger; gebeten; betete; beschwören; anbete; verehrungswürdiges; anzuflehen; anzubeten; gebet; preisende; huldigungsgeschenk; lobpreises; ehrfurchtsvoll; anflehen; erflehen; anbetet; beschwörungen; preisung; huldigend; preisender; betende; preisend; flehentlich; huldigungen; verehrungen; lobpreisende; anfleht; gebete; gesangs; beschwörer; verehrend; preisgebet; gepriesene; flehte; huldigens; anbetend; verehrenden; anrufung; lobgesangs; verehrungswürdigsten; lobpreisspender; hymnen; lobpreist; anbeteten; erfleht; flehenden; lobeshymne; anrufungen; getreuen; beschwöre; anbetenden; treuebezeugung; lobpreisens; anbeter; anbetern; hymne; beschwörungszauber; herbeirufen; lobpreise; erbittend; gottesanbeterin; flehender; beteten; wassergesang; erbittens; fleht,acclaim; adoration; adore; appeal to god; beseech; bow down; call upon; calling the name; chant; commendation; dedication; devotion; devout; divine embrace; embrace of the deity; embraced by the god; enfolding embrace; entreaty; extol; faithfulness; faithfulness to the god; god embracing the king; homage; hymn; hymn of praise; hymn to the god; intercession; invocation; invoke; invoke the deity; laud; loyalty; petition to the god; piety; pious; plea; plead; praise; praise song; praise the god; pray; prayer; prayer to the gods; psalm; religious devotion; revere; reverence; reverent love; ritual invocation; sacred song; song of praise; summon; summon the god; summoning; supplicate; supplication; venerate; veneration; words of praise; worship; worshipful,cultic_religious,positive,0.5
thanksgiving,dank; danken; dankte; dankt; danksagung; dankbar; dankbarkeit; dankgebet; dankesworte; dankopfer; danksagen; dankfest; erkenntlichkeit; dankerfüllt; dankesschuld; lobpreisender dank,appreciation; give thanks; grateful; grateful heart; grateful praise; gratefulness; gratitude; gratitude to the god; indebtedness; thank the gods; thankful; thankful heart; thankful offering; thankfulness; thanks; thanksgiving,cultic_religious,positive,0.7
purification,gereinigt; reinigen; reinigung; reinheit; unreinheit; reinigungsmittel; gereinigter; läutern; reinigens; reinigungspriester; reinigungsstätte; natronreinigung; reinheitsherrin; reinigungbecken; läuterung; gereinigtem; reinigungszelt; reinigungshäuser; reinigungsgefäße; reinigungskammer; reinigender; reinigungen; gereinigten; reinigungsopfer; reinigungshäusern; reinigungsbassins; reinigungsbecken; reinigungskasten,ablution; ablution rite; cleanse; cleansing; cleansing rite; four times pure; lustration; lustration rite; make pure; natron purification; purification; purification ritual; purified; purify; rite of purification; ritual cleansing; ritual purity; ritual washing; sanctifying with water,cultic_religious,neutral,0.1
consecration_foundation,totenstiftung; gründung; stiftung; gegründet; gründen; stiftungsbruder; weihe; weihen; fundament; eingeweihter; gestiftet; gründet; widmen; gründungen; begründet; stiftungsangehöriger; opferstiftungen; eingeweiht; stiftungsdirektor; stiftungsgutes; weiher; geweiht; stiftungsbrüder; gründer; geweihten; stiftungsvorstehers; gründete; stiftungstotenpriester; gründe; wohlgegründet; pyramidenstiftung; wohlbegründet; weihend; eingeweihten; totenstiftungen; fundamente; begründete; begründung; begründer; stiftungs; stiftungsbruders; fundaments; wohlgegründetes; weihung; fundamenten; zugeweiht; stiftungen; fischgründen; angestiftet,foundation; consecrate; consecration; dedicate; dedication; found a temple; lay the foundation; inaugurate; establish; sanctify; endow; endowment; mortuary foundation; founding ritual; stretching the cord,cultic_religious,positive,0.3
temple_ritual,rituals; ritual; festritual; kultstätte; zeremonien; kultbilder; ritualisten; ritus; abschlußzeremonie; ritualist; kultbild; kultstätten; rituale; kulthandlungen; kultgerät; ritualanweisung; ritualanweisungen; ritualvollzugs; kultgegenstand; kultmesser; mundöffnungsrituals; kultvollzug; aufrichten des djed-pfeilers; ritualfigur; kultbildes; kultes; kultort; kultstatuen; ritualvollzug; aufstellung des djed; opferrituals; abschlußzeremonien; zeremoniell; kultus; zeremonie; opferritual; ritualgestells; kultwesen; ritualhandlungen; apophisritual; kult; kultopfer; kultbildern; kultgeräte; kultobjekte; kultkammer; gottesopferritual; mundöffnungsritual; festrituals; kultstatue,temple ritual; cult ritual; rite; ceremony; cult image; ritual performance; daily cult; ritual recitation; offering ritual; cultic act; ritual instruction; opening ritual; perform the rites,cultic_religious,neutral,0.2
magical_protection,schutz; zauber; schützen; amulett; zauberkraft; beschützen; zauberreiche; beschützer; beschwörung; heka; schützend; behütet; zauberer; magier; zaubersprüche; zauberspruch; schutzes; beschütze; bewahren; magie; zauberkräften; fischamulett; amulette; zauberreichen; zaubermacht; zaubers; schutzzauber; zaubern; zauberkräfte; schutze; zauberei; schutzwehr; bogenschützen; zaubersprüchen; schutzschild; behüten; schutz der götter; schützenden; amulettschnur; zauberreicher; beschwörungen; zaubermeister; schutzhütte; papyrusamulett; schutzdach; schutzmacht; zaubermächtigen; zauberern; schutzkräfte; schutzzaubers; aufbewahren; schutzamulett; schutz des gottes; abwehrzauber; beschützender; amuletten; beschützerin; magiern; zauberers; abschirmen; knotenamulett; zaubermächtige; amulettes; zauberten; zauberkundige; zauberschutz; schutz des königs; schutzgöttinen; schutzamulette; schutzherrin; zauberkräftigen; abschirmendes; schutzpflanze; schutzmaßnahmen; bannen; schutzamulettes; schutzmauer; schutzmittel; zaubermächtig; schutzschirm; leibesschutz; geleitschutz; amulettschutz; schutzgöttinnen; begräbnisschutz; beschwörungszauber; schutzkraft; schutzwall; schutzamuletts; wasserzauber; schutzkleidung; schutzhütten; schutzband; zauberte; verzaubert,amulet; amulet of protection; apotropaic charm; charm; defend; divine protection; divine shelter; enchant; enchantment; gods safeguard; guard; guarded by the deity; heka; incantation; keep safe; king as protector; kings safeguard; magic; magic spell; magical amulet; magical power; preserve; protect; protected by heaven; protected by the pharaoh; protection; protection of the god; protection of the king; protective amulet; protective charm; ritual magic; royal protection; royal shelter; sacred charm; safeguard; shelter; sheltered by the god; shield; shielding; sorcery; spell; talisman; under protection; under the god's protection; under the kings care; ward off,magical,positive,0.4
healing_medical,heilmittel; krankheit; leiden; salbe; ein anderes heilmittel; werde getrunken; krankheitsauslöser; salben; leidens; arzt; werde gekocht; schmerzen; werde darüber verbunden; verband; werde fein zerrieben; schmerzt; schmerz; werde daran gegeben; werde zerrieben; schmerzhaft; krankheitsauslösern; linderung; werde ausgepresst; rezept; doppelverband; arztes; werde zermahlen; schmerzende; heilmittels; kranken; heilen; erleiden; krankheiten; geheilt; werde zu einer masse gemacht; krankheitsdämon; gelindert; krankheitsdämonen; schmerzflamme; leidend; ausheilen; notleidende; schmerzhafter; lindern; schmerzstoffe; schmerzhafte; leidenden; schmerzlich; salbenkoch; schmerzte; gesund werden; krankheitsdämons; heilmitteln; krankheitsverursacher; schmerzenden; schmerzhaften; krankheitsstoffes; krankheitsdämonin; krankheitsauslöserin; schmerzes; krankheitsauslösers; ausgeheilt; bauchschmerzen; sofortheilmittel; krankheitserreger; leidenschaftslosen; krankheitsfalles; schmerzdämonen; schmerzstoffen; schmerzendem; salber; hautkrankheit; wundsalbe; rezepte; hustenleiden; rezepts; salbenhaus; notleidenden; bekleidender; magenleiden; haarkrankheit; krankheitserregerin; herzschmerzen; heilung; medizinerhandbuch; zahnschmerzen; siegelzylinders; schmerzhaftes; einzukleiden; rezepten; leidenschaftslos; salbenduft; kopfschmerz; krankheitsfall; verbandsstoff; krankheitauslöserin; rezeptur; einsalben; blinder; krankheitbringenden; heilkraut; salbenpriester; verbandes; arznei; krankheitserregers; krankheitsfälle; schmerzensmann; salbenvorsteher,healing; cure; remedy; medicine; medical prescription; recipe; ointment; salve; bandage; dressing; treatment; disease; illness; ailment; pain; suffering; physician; heal; relieve; soothe; potion; symptom; therapy,medical,positive,0.3
execration_curse,vernichtet; vernichten; verfluchen; vernichtung; vernichtete; verflucht; vernichter; vernichte; verwünschungen; verwünschung; restvernichter; verfluchte; vernichtens; vernichtenden; verwünscht; vernichteter; vernichtest; bedrohung; fluch; fluchfiguren; verfluchten; fluches; vernichtende; vernichterin; vernichtern; fluchen; vernichtend; vernichtender; bedrohungen,accursed; curse; cursing; damn; evil wish; execration; ill omen; imprecation; malediction; threat,magical,negative,-0.7
divine_myth,horusauge; entstanden; sonnenscheibe; erschaffen; udjat; goldhorus; wennefer; onnophris; phönix; nachtbarke; horusauges; zerstückelt; erschuf; horusdiener; horuskinder; selbstentstandenes; horusgeleit; schöpfer; am anfang; horusthron; horusdieners; selbstentstandene; urgewässer; udjatauge; zerstückeln; horusgefolge; sonnengottes; zerstückelten; benu; gezeugt von; horusgeleits; sonnengott; horusaugen; thronfolger; horusweg; horuswegen; entstandenen; goldhorusse; entstandene; sonnenaufgang; entstandenes; schöpfung; zerstückelung; zerstückelte; udjataugen; erschufen; urhügel; selbstentstandenem; horusblick; sonnenbarke; entstandener; horusse; horussöhnen; sonnenaufgangs; sonnenuntergangs; rächer seines vaters; horusweges; erschaffens; horuswege; udjatauges; horussauge; wasserschwallschöpfer; horuskindern; geburt des gottes; horusgötter; horusblickes; horusfalke; selbstentstandenen; erschufst; sonnenbarken; oosiris; schöpfers; horusdienerschaft; gottesgeburten; entstandenem; horusname; osiristempels; osirisriten; selbstentstandener; zerstückelnder; gottesgeburt; horussöhne; erschaffener; sonnenscheiben; urhügels; thronfolgers,myth; creation myth; solar myth; Osiris myth; Horus myth; divine birth; primeval; the eye of Horus; self-created; came into being; creator; creation; dismembered; sun barque; primeval waters; phoenix; benu; cosmogony; mythic narrative,mythological,neutral,0.1
